onset	duration	trial_type	trial_number	bandit_num	mean_type	left_reward	right_reward	left_mean	right_mean	force_pos	response	response_time	points
n/a	n/a	h1	0.0	0.0	LH	40.0	64.0	40.0	52.0	L	left	109.4913	40.0
n/a	n/a	h1	0.0	1.0	LH	44.0	48.0	40.0	52.0	L	left	0.4045	84.0
n/a	n/a	h1	0.0	2.0	LH	58.0	52.0	40.0	52.0	R	right	0.269700000048	136.0
n/a	n/a	h1	0.0	3.0	LH	40.0	62.0	40.0	52.0	L	left	0.789200000048	176.0
n/a	n/a	h1	0.0	4.0	LH	52.0	40.0	40.0	52.0	X	right	0.583399999857	216.0
n/a	n/a	h6	1.0	0.0	LH	58.0	58.0	60.0	64.0	R	right	0.484200000048	274.0
n/a	n/a	h6	1.0	1.0	LH	59.0	60.0	60.0	64.0	L	left	0.539700000048	333.0
n/a	n/a	h6	1.0	2.0	LH	61.0	64.0	60.0	64.0	R	right	0.4075	397.0
n/a	n/a	h6	1.0	3.0	LH	55.0	63.0	60.0	64.0	R	right	0.385	460.0
n/a	n/a	h6	1.0	4.0	LH	69.0	69.0	60.0	64.0	X	right	0.812700000048	529.0
n/a	n/a	h6	1.0	5.0	LH	58.0	77.0	60.0	64.0	X	right	0.483400000095	606.0
n/a	n/a	h6	1.0	6.0	LH	51.0	47.0	60.0	64.0	X	right	0.251199999809	653.0
n/a	n/a	h6	1.0	7.0	LH	52.0	56.0	60.0	64.0	X	right	0.616900000095	709.0
n/a	n/a	h6	1.0	8.0	LH	62.0	56.0	60.0	64.0	X	right	0.309799999952	765.0
n/a	n/a	h6	1.0	9.0	LH	61.0	72.0	60.0	64.0	X	right	0.2345	837.0
n/a	n/a	h1	2.0	0.0	LH	48.0	67.0	40.0	70.0	R	right	0.450700000048	904.0
n/a	n/a	h1	2.0	1.0	LH	47.0	62.0	40.0	70.0	L	left	0.3215	951.0
n/a	n/a	h1	2.0	2.0	LH	39.0	62.0	40.0	70.0	R	right	0.2345	1013.0
n/a	n/a	h1	2.0	3.0	LH	35.0	65.0	40.0	70.0	L	left	0.718099999905	1048.0
n/a	n/a	h1	2.0	4.0	LH	50.0	67.0	40.0	70.0	X	right	0.701100000143	1115.0
n/a	n/a	h1	3.0	0.0	LH	31.0	44.0	28.0	40.0	R	right	0.334900000095	1159.0
n/a	n/a	h1	3.0	1.0	LH	27.0	54.0	28.0	40.0	L	left	0.3345	1186.0
n/a	n/a	h1	3.0	2.0	LH	25.0	39.0	28.0	40.0	R	right	0.151300000191	1225.0
n/a	n/a	h1	3.0	3.0	LH	29.0	30.0	28.0	40.0	L	left	0.2675	1254.0
n/a	n/a	h1	3.0	4.0	LH	29.0	47.0	28.0	40.0	X	right	1.5720999999	1301.0
n/a	n/a	h1	4.0	0.0	HL	67.0	22.0	60.0	30.0	R	right	0.451599999905	1323.0
n/a	n/a	h1	4.0	1.0	HL	55.0	38.0	60.0	30.0	R	right	0.3715	1361.0
